version:4
prefix;root;translation;example
miss;achten;to disregard, neglect;Wer die Regeln missachtet, wird bestraft.
nach;ahmen;to mimic;Das Kind ahmt den Lehrer nach.
ver;anschaulichen;to illustrate;Ein Beispiel veranschaulicht das Konzept.
be;anspruchen;to claim, demand;Dieser Job beansprucht viel Zeit.
be;anspruchen;to take up (time);Der Job beansprucht viel Zeit.
;antworten;to answer;Er antwortet schnell.
be;antworten;to answer (a letter etc.);Beantworte bitte meine E-Mail.
;arbeiten;to work;Er arbeitet in einem Büro.
auf;arbeiten;to work through;Wir arbeiten alte Dokumente auf.
mit;arbeiten;to collaborate;Wir arbeiten in diesem Projekt eng mit.
ver;arbeiten;to process;Wir verarbeiten hier Holz zu Möbeln.
vor;arbeiten;to work ahead;Ich arbeite schon mal für morgen vor.
über;arbeiten;to revise, rework;Wir überarbeiten unseren Bericht.
um;armen;to hug;Sie umarmt ihre Freundin herzlich.
ent;arten;to degenerate;Die Diskussion entartet in Streit.
be;auftragen;to commission, assign;Wir beauftragen eine Agentur mit dem Design.
;bauen;to build;Sie bauen ein Haus.
auf;bauen;to build up;Wir bauen auf deinen Erfolg auf.
auf;bauen;to rely on;Wir bauen auf deine Hilfe auf.
miss;bauen;to build incorrectly (rare);Die Architekten haben das Haus komplett missbaut.
zurück;bauen;to dismantle;Die Stadt baut die alten Anlagen zurück.
;beginnen;to begin;Der Film beginnt um acht.
bei;behalten;to keep, maintain;Wir behalten unseren Plan bei.
zurück;behalten;to keep for oneself;Ich behalte einen Teil davon zurück.
ent;behren;to do without, lack;Ich kann seine Hilfe nicht entbehren.
zer;beißen;to chew up or bite apart;Der Hund zerbeißt das Spielzeug.
ein;bekennen|(sich);to confess (to something);Er bekennt sich zu seinen Fehlern ein.
mit;bekommen;to notice, get to know of;Hast du das Gespräch mitbekommen?
vor;bereiten;to prepare;Wir bereiten das Essen für morgen vor.
ver;bergen;to hide, conceal;Sie verbirgt ihre wahren Gefühle.
aus;bessern;to repair, mend;Wir bessern das kaputte Fenster aus.
nach;bessern;to correct/improve afterward;Wir bessern den Entwurf noch nach.
ver;bessern;to improve;Sie verbessert ihre Sprachkenntnisse täglich.
